threshold,test_sensitivity,test_specificity,test_precision,test_f1,test_accuracy,test_tp,test_fp,test_fn,test_tn,mean_false_alarms_per_hour,std_false_alarms_per_hour,mean_false_alarm_events,n_long_records
0.0,1.0,0.0,0.19501625135427952,0.3263825929283772,0.19501625135427952,180,743,0,0,60.0,0.0,1.0,5
0.02,1.0,0.765814266487214,0.5084745762711864,0.6741573033707865,0.8114842903575298,180,174,0,569,1632.0,266.30809225406574,27.2,5
0.04,1.0,0.8384925975773889,0.6,0.75,0.8699891657638137,180,120,0,623,2736.0,182.97540818372286,45.6,5
0.06,1.0,0.8788694481830417,0.6666666666666666,0.8,0.9024918743228603,180,90,0,653,2820.0,94.86832980505137,47.0,5
0.08,1.0,0.8950201884253028,0.6976744186046512,0.821917808219178,0.9154929577464789,180,78,0,665,2880.0,293.9387691339814,48.0,5
0.1,1.0,0.9138627187079408,0.7377049180327869,0.8490566037735849,0.9306608884073673,180,64,0,679,2964.0,387.9175170058707,49.4,5
0.12,1.0,0.9259757738896366,0.7659574468085106,0.8674698795180723,0.9404117009750813,180,55,0,688,2808.0,368.40195439221003,46.8,5
0.14,1.0,0.9327052489905787,0.782608695652174,0.8780487804878049,0.9458288190682557,180,50,0,693,2592.0,403.3856715353187,43.2,5
0.140717,1.0,0.9327052489905787,0.782608695652174,0.8780487804878049,0.9458288190682557,180,50,0,693,2592.0,403.3856715353187,43.2,5
0.16,1.0,0.9380888290713324,0.7964601769911505,0.8866995073891626,0.9501625135427952,180,46,0,697,2376.0,452.19464835400254,39.6,5
0.18,1.0,0.946164199192463,0.8181818181818182,0.9,0.9566630552546046,180,40,0,703,2208.0,511.58576993501293,36.8,5
0.2,1.0,0.9528936742934051,0.8372093023255814,0.9113924050632911,0.962080173347779,180,35,0,708,1956.0,497.6745924798653,32.6,5
0.22,1.0,0.9596231493943472,0.8571428571428571,0.9230769230769231,0.9674972914409534,180,30,0,713,1800.0,474.3416490252569,30.0,5
0.24,1.0,0.9636608344549125,0.8695652173913043,0.9302325581395349,0.9707475622968581,180,27,0,716,1620.0,462.81745861624535,27.0,5
0.26,1.0,0.9663526244952894,0.8780487804878049,0.935064935064935,0.9729144095341279,180,25,0,718,1404.0,380.8936859544931,23.4,5
0.28,1.0,0.9703903095558546,0.8910891089108911,0.9424083769633508,0.9761646803900325,180,22,0,721,1200.0,391.1521443121589,20.0,5
0.3,1.0,0.9757738896366084,0.9090909090909091,0.9523809523809523,0.980498374864572,180,18,0,725,1056.0,332.9864862122786,17.6,5
0.32,1.0,0.9757738896366084,0.9090909090909091,0.9523809523809523,0.980498374864572,180,18,0,725,900.0,220.45407685048602,15.0,5
0.34,0.9944444444444445,0.9784656796769852,0.9179487179487179,0.9546666666666667,0.9815817984832069,179,16,1,727,780.0,140.71247279470288,13.0,5
0.36,0.9944444444444445,0.9784656796769852,0.9179487179487179,0.9546666666666667,0.9815817984832069,179,16,1,727,648.0,176.97457444503152,10.8,5
0.38,0.9944444444444445,0.9811574697173621,0.927461139896373,0.9597855227882037,0.9837486457204767,179,14,1,729,588.0,155.3061492665374,9.8,5
0.4,0.9944444444444445,0.9825033647375505,0.9322916666666666,0.9623655913978495,0.9848320693391116,179,13,1,730,504.0,144.49913494550754,8.4,5
0.42,0.9944444444444445,0.9838492597577388,0.93717277486911,0.9649595687331537,0.9859154929577465,179,12,1,731,420.0,152.97058540778355,7.0,5
0.44,0.9888888888888889,0.9892328398384926,0.956989247311828,0.9726775956284153,0.9891657638136512,178,8,2,735,360.0,152.97058540778355,6.0,5
0.46,0.9833333333333333,0.9892328398384926,0.9567567567567568,0.9698630136986301,0.9880823401950163,177,8,3,735,300.0,146.9693845669907,5.0,5
0.48,0.9833333333333333,0.9919246298788694,0.9672131147540983,0.9752066115702479,0.9902491874322861,177,6,3,737,264.0,177.9887636902959,4.4,5
0.5,0.9833333333333333,0.9932705248990579,0.9725274725274725,0.9779005524861878,0.991332611050921,177,5,3,738,216.0,138.13037319865606,3.6,5
0.52,0.9833333333333333,0.9932705248990579,0.9725274725274725,0.9779005524861878,0.991332611050921,177,5,3,738,168.0,122.96340919151518,2.8,5
0.54,0.9777777777777777,0.9946164199192463,0.9777777777777777,0.9777777777777777,0.991332611050921,176,4,4,739,168.0,122.96340919151518,2.8,5
0.56,0.9777777777777777,0.9946164199192463,0.9777777777777777,0.9777777777777777,0.991332611050921,176,4,4,739,132.0,136.82105101189657,2.2,5
0.58,0.9777777777777777,0.9946164199192463,0.9777777777777777,0.9777777777777777,0.991332611050921,176,4,4,739,108.0,88.99438184514796,1.8,5
0.6,0.9722222222222222,0.9946164199192463,0.9776536312849162,0.9749303621169917,0.9902491874322861,175,4,5,739,96.0,68.41052550594829,1.6,5
0.62,0.9611111111111111,0.9946164199192463,0.9774011299435028,0.969187675070028,0.9880823401950163,173,4,7,739,96.0,68.41052550594829,1.6,5
0.64,0.95,0.9959623149394348,0.9827586206896551,0.9661016949152542,0.9869989165763814,171,3,9,740,60.0,60.0,1.0,5
0.66,0.95,0.9959623149394348,0.9827586206896551,0.9661016949152542,0.9869989165763814,171,3,9,740,60.0,60.0,1.0,5
0.68,0.9444444444444444,0.9973082099596231,0.9883720930232558,0.9659090909090909,0.9869989165763814,170,2,10,741,36.0,53.665631459994955,0.6,5
0.7,0.9277777777777778,0.9973082099596231,0.9881656804733728,0.9570200573065902,0.9837486457204767,167,2,13,741,36.0,53.665631459994955,0.6,5
0.72,0.9222222222222223,0.9973082099596231,0.9880952380952381,0.9540229885057471,0.9826652221018418,166,2,14,741,24.0,32.863353450309965,0.4,5
0.74,0.9222222222222223,0.9973082099596231,0.9880952380952381,0.9540229885057471,0.9826652221018418,166,2,14,741,24.0,32.863353450309965,0.4,5
0.76,0.9222222222222223,0.9973082099596231,0.9880952380952381,0.9540229885057471,0.9826652221018418,166,2,14,741,12.0,26.832815729997478,0.2,5
0.78,0.9055555555555556,0.9973082099596231,0.9878787878787879,0.9449275362318841,0.9794149512459371,163,2,17,741,12.0,26.832815729997478,0.2,5
0.8,0.8833333333333333,0.9986541049798116,0.99375,0.9352941176470588,0.9761646803900325,159,1,21,742,12.0,26.832815729997478,0.2,5
0.82,0.8611111111111112,1.0,1.0,0.9253731343283582,0.9729144095341279,155,0,25,743,0.0,0.0,0.0,5
0.84,0.8333333333333334,1.0,1.0,0.9090909090909091,0.9674972914409534,150,0,30,743,0.0,0.0,0.0,5
0.86,0.8222222222222222,1.0,1.0,0.9024390243902439,0.9653304442036836,148,0,32,743,0.0,0.0,0.0,5
0.88,0.7722222222222223,1.0,1.0,0.8714733542319749,0.9555796316359697,139,0,41,743,0.0,0.0,0.0,5
0.9,0.7388888888888889,1.0,1.0,0.8498402555910544,0.9490790899241603,133,0,47,743,0.0,0.0,0.0,5
0.92,0.7277777777777777,1.0,1.0,0.842443729903537,0.9469122426868906,131,0,49,743,0.0,0.0,0.0,5
0.94,0.7222222222222222,1.0,1.0,0.8387096774193549,0.9458288190682557,130,0,50,743,0.0,0.0,0.0,5
0.96,0.6944444444444444,1.0,1.0,0.819672131147541,0.9404117009750813,125,0,55,743,0.0,0.0,0.0,5
0.98,0.6555555555555556,1.0,1.0,0.7919463087248322,0.9328277356446371,118,0,62,743,0.0,0.0,0.0,5
1.0,0.45555555555555555,1.0,1.0,0.6259541984732825,0.8938244853737811,82,0,98,743,0.0,0.0,0.0,5
